User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC
Q15208,STK38,285 / 716,31.3,419
P62244,RPS15A,401 / 716,5.7,34
O75688,PPM1B,159 / 716,28,171
P62826,RAN,440 / 716,8.8,42
A0A0A0MRZ7,IGKV2D-26,220 / 716,12.9,524
A2NJV5,IGKV2-29,220 / 716,12.9,524
A0A075B6S2,IGKV2D-29,220 / 716,12.9,524
P68032,ACTC1,656 / 716,26.6,411
P68133,ACTA1,656 / 716,26.4,411
P60709,ACTB,667 / 716,49.7,1008
P63261,ACTG1,667 / 716,49.9,1014
P0DMV8,HSPA1A,698 / 716,49.4,319
P0DMV9,HSPA1B,698 / 716,49.4,319
P35908,KRT2,628 / 716,33.3,614
P04264,KRT1,671 / 716,58.6,1141
P84243,H3F3B,384 / 716,5.1,44
Q16695,HIST3H3,383 / 716,5,44
P68431,HIST1H3H,388 / 716,5.3,44
Q71DI3,HIST2H3C,389 / 716,5.4,44
P05141,SLC25A5,525 / 716,11.5,71
P11142,HSPA8,703 / 716,46.9,338
Q6P3W7,SCYL2,95 / 716,11.7,155
Q5VTE0,EEF1A1P5,653 / 716,29.6,232
P08670,VIM,543 / 716,39.2,673
P22061,PCMT1,299 / 716,7.7,48
O60814,HIST1H2BK,515 / 716,17.3,145
Q93079,HIST1H2BH,515 / 716,17.3,145
P58876,HIST1H2BD,515 / 716,17.3,145
Q99879,HIST1H2BM,515 / 716,17.3,145
P57053,H2BFS,515 / 716,17.1,145
P62807,HIST1H2BC,515 / 716,17.3,145
Q99880,HIST1H2BL,515 / 716,17.2,144
Q99877,HIST1H2BN,515 / 716,17.3,145
Q5QNW6,HIST2H2BF,515 / 716,17.3,145
P33778,HIST1H2BB,513 / 716,16.6,139
P23527,HIST1H2BO,513 / 716,16.6,139
P06899,HIST1H2BJ,513 / 716,16.6,139
Q16778,HIST2H2BE,513 / 716,16.6,139
P62249,RPS16,411 / 716,7.2,42
P38646,HSPA9,552 / 716,26.2,161
P62851,RPS25,356 / 716,6.4,38
O43175,PHGDH,394 / 716,6.2,42
P62805,HIST1H4D,489 / 716,15.3,305
P62701,RPS4X,451 / 716,10,60
P19474,TRIM21,248 / 716,22.7,465
P13645,KRT10,616 / 716,47,811
P68371,TUBB4B,678 / 716,40,317
P07437,TUBB,685 / 716,47.2,336
O14744,PRMT5,285 / 716,109.5,3096
Q9NU22,MDN1,85 / 716,2.4,8
P10412,HIST1H1E,605 / 716,13.1,125
P62861,FAU,320 / 716,4,29
P46783,RPS10,336 / 716,8.2,77
P13647,KRT5,508 / 716,17.3,219
P35527,KRT9,577 / 716,40.6,688
P81605,DCD,279 / 716,3.7,45
P01859,IGHG2,142 / 716,5.4,55
P18085,ARF4,199 / 716,4,16
P22626,HNRNPA2B1,536 / 716,16.8,102
P62266,RPS23,413 / 716,5.1,30
P11021,HSPA5,661 / 716,23.9,146
P09651,HNRNPA1,552 / 716,12.8,72
P62269,RPS18,399 / 716,7.2,42
P61978,HNRNPK,581 / 716,23.2,150
Q9GZS1,POLR1E,35 / 716,2.6,9
P46060,RANGAP1,283 / 716,14.5,65
P01834,IGKC,36 / 716,7.4,47
P62913,RPL11,495 / 716,4.7,23
P63173,RPL38,300 / 716,8.4,58
P32969,RPL9P9,390 / 716,6.5,80
Q7Z333,SETX,43 / 716,3.9,44
P62277,RPS13,311 / 716,5.3,21
P01857,IGHG1,62 / 716,10.9,58
P23528,CFL1,496 / 716,6.7,70
P62081,RPS7,368 / 716,8.6,48
P11387,TOP1,285 / 716,7.3,67
P61160,ACTR2,140 / 716,3.5,55
P42898,MTHFR,2 / 716,2,3
P40429,RPL13A,294 / 716,6.2,60
P54577,YARS,170 / 716,4.3,35
Q86VP6,CAND1,275 / 716,7.1,65
P61011,SRP54,120 / 716,2.2,7
P07900,HSP90AA1,565 / 716,33.7,343
P08238,HSP90AB1,573 / 716,34.8,273
P51991,HNRNPA3,447 / 716,6.6,49
Q13151,HNRNPA0,405 / 716,4.9,31
P35250,RFC2,128 / 716,2.1,7
P00338,LDHA,304 / 716,7.4,60
Q9NTJ3,SMC4,253 / 716,4.6,24
P62910,RPL32,184 / 716,4.2,37
P78371,CCT2,428 / 716,19.3,245
P84098,RPL19,458 / 716,3.3,64
P06748,NPM1,554 / 716,21.5,317
P39656,DDOST,148 / 716,3.1,18
P35998,PSMC2,313 / 716,5.1,36
P62280,RPS11,340 / 716,5.6,25
P05388,RPLP0,436 / 716,8.3,57
Q00577,PURA,55 / 716,2.2,8
Q08752,PPID,15 / 716,1.3,4
P21333,FLNA,508 / 716,174.1,2388
P27635,RPL10,369 / 716,5,42
P13639,EEF2,488 / 716,20.8,223
P61353,RPL27,324 / 716,4.3,46
O75832,PSMD10,38 / 716,1.5,4
P05198,EIF2S1,240 / 716,2.9,17
P62899,RPL31,335 / 716,4.3,23
Q9Y224,C14ORF166,250 / 716,3.8,16
Q9BRX2,PELO,63 / 716,1.6,6
P40227,CCT6A,413 / 716,14,145
P49368,CCT3,367 / 716,15,116
O14980,XPO1,237 / 716,3.8,52
P62195,PSMC5,294 / 716,6.2,54
P26373,RPL13,474 / 716,5.8,50
P12277,CKB,308 / 716,12.7,96
P51149,RAB7A,104 / 716,4.7,25
Q99832,CCT7,360 / 716,14.4,115
P27816,MAP4,312 / 716,22,325
P43487,RANBP1,259 / 716,3,12
Q9Y2Z0,SUGT1,190 / 716,2.9,10
P09496,CLTA,160 / 716,3.9,11
P26641,EEF1G,461 / 716,8.9,58
P31689,DNAJA1,243 / 716,4.8,37
Q9UNX3,RPL26L1,307 / 716,4.6,18
P61254,RPL26,312 / 716,5.3,24
P41252,IARS,257 / 716,7.7,66
P18077,RPL35A,220 / 716,4.2,23
P62847,RPS24,353 / 716,6.7,47
Q4G0F5,VPS26B,6 / 716,10.8,46
O75436,VPS26A,40 / 716,1.4,8
P28066,PSMA5,187 / 716,3.7,13
P61081,UBE2M,140 / 716,2.2,9
P06493,CDK1,282 / 716,4.2,23
P63241,EIF5A,352 / 716,4.4,22
P84090,ERH,454 / 716,5.4,100
P0CG48,UBC,457 / 716,5.5,84
P62979,RPS27A,478 / 716,5.8,84
P0CG47,UBB,457 / 716,5.5,84
P62987,UBA52,462 / 716,5.5,84
Q9NZI8,IGF2BP1,343 / 716,7.4,48
P22087,FBL,387 / 716,10.8,218
P36578,RPL4,444 / 716,10.4,82
P25787,PSMA2,193 / 716,4.2,16
Q9Y678,COPG1,228 / 716,5,38
P22314,UBA1,301 / 716,10.7,146
P23246,SFPQ,484 / 716,16.6,344
P50991,CCT4,433 / 716,13.6,94
P06737,PYGL,74 / 716,3.4,23
Q14204,DYNC1H1,345 / 716,15.1,127
Q14152,EIF3A,287 / 716,9.1,56
Q02878,RPL6,432 / 716,11.3,219
P39023,RPL3,402 / 716,9.2,135
P32119,PRDX2,482 / 716,6.6,55
P78527,PRKDC,406 / 716,30.5,171
P56192,MARS,295 / 716,7.3,45
Q14137,BOP1,96 / 716,4.5,21
P42766,RPL35,302 / 716,4.1,53
Q04637,EIF4G1,293 / 716,25,153
P61247,RPS3A,434 / 716,8.6,56
P27708,CAD,387 / 716,10.7,96
P25685,DNAJB1,143 / 716,3.4,22
P84077,ARF1,262 / 716,6.3,32
P61204,ARF3,261 / 716,6.4,32
A6NDG6,PGP,11 / 716,1.3,4
P23396,RPS3,491 / 716,15.7,75
Q9Y285,FARSA,174 / 716,2.8,12
P61163,ACTR1A,208 / 716,4.6,23
O43390,HNRNPR,422 / 716,9.1,176
P06733,ENO1,478 / 716,19.8,163
P04075,ALDOA,301 / 716,11.2,77
Q15365,PCBP1,472 / 716,8.1,101
Q15366,PCBP2,475 / 716,8,55
P62829,RPL23,507 / 716,5.5,48
P06753,TPM3,354 / 716,6.4,59
O14617,AP3D1,198 / 716,5.2,22
P54136,RARS,333 / 716,9.4,47
P49756,RBM25,237 / 716,5.8,44
P19338,NCL,527 / 716,25.4,265
P46781,RPS9,388 / 716,6.7,32
P62917,RPL8,390 / 716,5.4,42
P31948,STIP1,237 / 716,8.3,67
Q9UGI8,TES,61 / 716,2.1,9
P62906,RPL10A,280 / 716,7.6,44
P27694,RPA1,242 / 716,5.7,38
Q99615,DNAJC7,150 / 716,3.2,24
P11940,PABPC1,408 / 716,11.1,97
P18124,RPL7,335 / 716,8.2,60
Q9HB71,CACYBP,187 / 716,2.9,22
Q14247,CTTN,318 / 716,15.2,122
O60884,DNAJA2,210 / 716,3.3,29
O43242,PSMD3,269 / 716,6.3,34
Q86Y56,DNAAF5,15 / 716,1.3,3
Q00610,CLTC,406 / 716,18.6,236
O76021,RSL1D1,277 / 716,6.6,42
Q92616,GCN1,246 / 716,27.8,149
P28340,POLD1,126 / 716,3.7,28
P49327,FASN,436 / 716,91.3,743
P15531,NME1,320 / 716,5.6,41
P22392,NME2,324 / 716,6.7,48
Q92973,TNPO1,130 / 716,2.3,11
P63244,RACK1,352 / 716,6.8,47
Q92974,ARHGEF2,78 / 716,1.8,6
Q9BV20,MRI1,45 / 716,2.1,7
Q9P2J5,LARS,348 / 716,7.7,61
P48643,CCT5,457 / 716,15.8,120
P22234,PAICS,322 / 716,6.5,52
O15212,PFDN6,44 / 716,1.3,3
P14618,PKM,536 / 716,19.6,178
P25786,PSMA1,180 / 716,5,23
P61289,PSME3,198 / 716,6.8,34
P26639,TARS,167 / 716,6.9,66
Q9UMR2,DDX19B,65 / 716,1.4,4
Q9NUU7,DDX19A,67 / 716,1.4,4
O00571,DDX3X,498 / 716,15.5,89
P61221,ABCE1,121 / 716,3.6,18
Q9ULX3,NOB1,32 / 716,1.3,4
P33176,KIF5B,245 / 716,9.5,48
Q9Y3I0,RTCB,290 / 716,6.1,31
O43318,MAP3K7,23 / 716,1.7,5
P62937,PPIA,439 / 716,7.8,59
Q6FI13,HIST2H2AA3,552 / 716,10.6,210
P0C0S5,H2AFZ,491 / 716,6.1,144
Q71UI9,H2AFV,491 / 716,6.1,144
P62424,RPL7A,398 / 716,8.1,57
P15880,RPS2,447 / 716,8.8,68
P12236,SLC25A6,495 / 716,10.4,117
P17812,CTPS1,312 / 716,8.5,60
P05387,RPLP2,440 / 716,6.7,120
Q02790,FKBP4,197 / 716,8.2,58
P04406,GAPDH,458 / 716,14.2,124
Q05639,EEF1A2,645 / 716,17.6,178
P60228,EIF3E,209 / 716,4.4,32
P46779,RPL28,316 / 716,6.4,64
P20042,EIF2S2,176 / 716,2.1,8
P53396,ACLY,296 / 716,10.6,116
P17844,DDX5,528 / 716,11.1,83
Q92841,DDX17,523 / 716,10.8,81
Q9UNH7,SNX6,42 / 716,1.3,3
Q14008,CKAP5,196 / 716,20.8,116
P09874,PARP1,438 / 716,17.2,150
Q6P2Q9,PRPF8,339 / 716,18.8,138
Q9H9B4,SFXN1,140 / 716,4.4,29
P23284,PPIB,228 / 716,9,56
P18206,VCL,156 / 716,4.1,28
Q9Y6E2,BZW2,22 / 716,1.9,5
P63162,SNRPN,308 / 716,7.8,192
P14678,SNRPB,308 / 716,7.8,192
P50990,CCT8,451 / 716,36.7,267
Q15233,NONO,505 / 716,22.4,387
P46778,RPL21,329 / 716,4.9,36
P63165,SUMO1,144 / 716,2.3,8
P61313,RPL15,365 / 716,7.2,43
Q8N163,CCAR2,297 / 716,8.2,65
P11586,MTHFD1,311 / 716,10.9,105
P08243,ASNS,131 / 716,4.1,42
O95816,BAG2,247 / 716,2.9,20
O43143,DHX15,432 / 716,11,165
Q96HC4,PDLIM5,116 / 716,7.6,49
Q969Q0,RPL36AL,203 / 716,3.5,19
P83881,RPL36A,220 / 716,3.8,28
Q9BQE3,TUBA1C,694 / 716,45.6,290
P68366,TUBA4A,679 / 716,35.2,234
Q71U36,TUBA1A,694 / 716,41.7,261
A6NHL2,TUBAL3,501 / 716,4.6,43
O15372,EIF3H,195 / 716,3.2,15
P42167,TMPO,386 / 716,17.7,89
Q02543,RPL18A,300 / 716,5.6,37
Q00796,SORD,46 / 716,2.7,13
P47914,RPL29,399 / 716,2.5,60
P46777,RPL5,395 / 716,7.9,63
Q14103,HNRNPD,489 / 716,6.3,37
O14979,HNRNPDL,369 / 716,4.6,25
Q9Y4R8,TELO2,33 / 716,1.3,4
Q06830,PRDX1,549 / 716,12.2,75
O00232,PSMD12,221 / 716,3.6,15
P78347,GTF2I,312 / 716,18,114
Q92945,KHSRP,403 / 716,11.4,77
Q9Y266,NUDC,296 / 716,6,33
P46977,STT3A,119 / 716,2,10
P43307,SSR1,57 / 716,1.9,7
O60506,SYNCRIP,459 / 716,7.5,97
Q99729,HNRNPAB,442 / 716,5.2,29
P78344,EIF4G2,119 / 716,7.1,46
Q9P035,HACD3,176 / 716,3.5,27
Q9BWF3,RBM4,82 / 716,2.5,10
P41250,GARS,116 / 716,2.8,21
Q9UQ80,PA2G4,260 / 716,7.7,59
P25205,MCM3,322 / 716,6.5,65
Q13442,PDAP1,233 / 716,5.1,24
Q9Y5A9,YTHDF2,250 / 716,2.4,11
Q7Z739,YTHDF3,146 / 716,1.8,11
Q93008,USP9X,177 / 716,3.7,20
P50402,EMD,270 / 716,3.8,27
Q14157,UBAP2L,322 / 716,12.7,64
P07814,EPRS,393 / 716,14.6,69
P62854,RPS26,375 / 716,3.5,65
Q9P0I2,EMC3,5 / 716,1.4,2
O14654,IRS4,378 / 716,11.7,99
Q14244,MAP7,109 / 716,2.6,11
P07910,HNRNPC,444 / 716,9.3,59
P49588,AARS,122 / 716,4.5,42
P26599,PTBP1,438 / 716,10.2,110
P62241,RPS8,498 / 716,7.6,46
P55072,VCP,314 / 716,23.6,161
Q92900,UPF1,117 / 716,4,44
P55060,CSE1L,318 / 716,7.9,59
Q9NSD9,FARSB,139 / 716,4.8,18
P0DP25,CALM3,327 / 716,6.3,245
P0DP24,CALM2,327 / 716,6.3,245
P0DP23,CALM1,327 / 716,6.3,245
Q86XL3,ANKLE2,43 / 716,1.4,6
P57088,TMEM33,144 / 716,1.7,6
Q00535,CDK5,164 / 716,1.3,4
P60842,EIF4A1,479 / 716,12.6,89
Q5VYK3,ECM29,78 / 716,2,10
Q9NR46,SH3GLB2,27 / 716,7.4,28
P83731,RPL24,447 / 716,4.6,22
P46776,RPL27A,430 / 716,3.5,19
P13797,PLS3,208 / 716,7.4,37
P39019,RPS19,334 / 716,8.3,61
O75369,FLNB,417 / 716,28.1,759
P51617,IRAK1,83 / 716,4.5,13
P08240,SRPRA,115 / 716,2.2,10
Q96KC8,DNAJC1,1 / 716,1,1
P17987,TCP1,432 / 716,18.2,147
Q9HCE1,MOV10,87 / 716,5,28
Q8WUM4,PDCD6IP,227 / 716,5.5,50
P36543,ATP6V1E1,43 / 716,1.4,3
O15160,POLR1C,84 / 716,1.9,7
P40938,RFC3,120 / 716,1.4,5
Q9UBM7,DHCR7,60 / 716,1.4,6
Q6UWE0,LRSAM1,2 / 716,1,1
P49207,RPL34,247 / 716,3,12
Q9BPX3,NCAPG,186 / 716,3,19
Q99459,CDC5L,209 / 716,12.1,68
P04843,RPN1,246 / 716,4.3,37
Q16181,SEPT7,175 / 716,3.3,17
Q9UG63,ABCF2,137 / 716,3.4,21
P62834,RAP1A,115 / 716,2.2,10
P61224,RAP1B,117 / 716,2.4,10
P12004,PCNA,268 / 716,6.2,70
O94905,ERLIN2,113 / 716,2.1,23
P35580,MYH10,379 / 716,30,750
P52272,HNRNPM,520 / 716,17.6,154
P62753,RPS6,466 / 716,6.6,55
Q86U42,PABPN1,206 / 716,2.6,11
Q9Y490,TLN1,217 / 716,24.6,231
P35579,MYH9,448 / 716,51.8,667
O75396,SEC22B,85 / 716,2.1,8
P49591,SARS,56 / 716,2.1,8
Q92615,LARP4B,86 / 716,1.8,6
P62258,YWHAE,447 / 716,10,81
Q00839,HNRNPU,578 / 716,18.8,246
P30566,ADSL,71 / 716,2,11
Q9H3U1,UNC45A,136 / 716,6.3,47
P47897,QARS,291 / 716,6.1,48
P54727,RAD23B,79 / 716,4,16
Q9UN86,G3BP2,214 / 716,3.2,34
P16615,ATP2A2,302 / 716,4.2,41
P20618,PSMB1,186 / 716,3.7,13
O75534,CSDE1,191 / 716,10.1,39
P59998,ARPC4,111 / 716,2.7,12
P37802,TAGLN2,410 / 716,9.9,63
P51114,FXR1,140 / 716,3.8,42
Q9Y3F4,STRAP,319 / 716,5.6,28
Q9HAV0,GNB4,144 / 716,2.6,13
Q96AG4,LRRC59,175 / 716,3.7,18
P28482,MAPK1,47 / 716,1.7,4
P38919,EIF4A3,418 / 716,6.3,44
Q00341,HDLBP,218 / 716,13.4,105
O43447,PPIH,122 / 716,4.4,20
P28074,PSMB5,201 / 716,5,25
P60660,MYL6,411 / 716,6.8,50
P23258,TUBG1,141 / 716,2.3,11
Q9NRH3,TUBG2,125 / 716,2.1,9
Q13561,DCTN2,219 / 716,4.8,26
P50395,GDI2,166 / 716,5.4,33
Q16204,CCDC6,40 / 716,1.3,3
P18031,PTPN1,124 / 716,2.4,8
P13010,XRCC5,428 / 716,9.1,70
Q9Y230,RUVBL2,310 / 716,12.9,96
P04350,TUBB4A,668 / 716,30.7,255
Q9UHB9,SRP68,192 / 716,13.6,64
Q99956,DUSP9,1 / 716,2,2
A0FGR8,ESYT2,77 / 716,2.5,13
Q99829,CPNE1,82 / 716,2.7,13
Q9UHD8,SEPT9,200 / 716,5.8,37
P19623,SRM,85 / 716,3.2,14
Q13885,TUBB2A,675 / 716,34.5,290
Q9BVA1,TUBB2B,675 / 716,34.7,292
P19388,POLR2E,143 / 716,2.3,16
P53621,COPA,202 / 716,4.5,58
Q8WWM7,ATXN2L,305 / 716,17.3,103
P23526,AHCY,232 / 716,9.3,56
Q9Y371,SH3GLB1,30 / 716,2.2,7
P54619,PRKAG1,43 / 716,1.5,4
P63092,GNAS,207 / 716,2.9,26
Q5JWF2,GNAS,207 / 716,2.9,26
O43684,BUB3,298 / 716,3.8,14
Q15149,PLEC,233 / 716,22,526
Q03252,LMNB2,156 / 716,5,54
P14868,DARS,271 / 716,6.6,35
Q9UNE7,STUB1,125 / 716,2.8,13
Q9Y265,RUVBL1,378 / 716,18.3,97
P07305,H1F0,111 / 716,3.9,91
Q05682,CALD1,158 / 716,16.7,165
Q9NPF4,OSGEP,20 / 716,1.4,4
P25398,RPS12,382 / 716,7,51
Q9NTK5,OLA1,120 / 716,2.7,17
Q8NC51,SERBP1,468 / 716,15.6,104
P61026,RAB10,176 / 716,3,16
Q9H0U4,RAB1B,192 / 716,4.2,23
Q16629,SRSF7,351 / 716,4.7,34
P16949,STMN1,276 / 716,4.3,25
Q08211,DHX9,470 / 716,21.4,163
Q96GD0,PDXP,24 / 716,1,1
Q9UBQ0,VPS29,31 / 716,1.9,6
Q96CS3,FAF2,70 / 716,2.6,11
P23588,EIF4B,344 / 716,22.3,169
O00264,PGRMC1,128 / 716,2.9,19
Q9UMS4,PRPF19,262 / 716,8.1,48
P84085,ARF5,232 / 716,4.4,20
P22102,GART,336 / 716,9.7,51
Q9NZB2,FAM120A,159 / 716,2.6,79
Q9HAV4,XPO5,129 / 716,2.7,26
P55010,EIF5,172 / 716,12.9,64
P62263,RPS14,514 / 716,5.4,30
Q13310,PABPC4,376 / 716,7.8,71
P00558,PGK1,200 / 716,9,64
O76003,GLRX3,111 / 716,2.1,8
P13473,LAMP2,25 / 716,1.4,3
P29692,EEF1D,353 / 716,6.4,42
P15311,EZR,264 / 716,6.3,115
P62318,SNRPD3,377 / 716,5.1,170
Q15750,TAB1,64 / 716,4.9,54
P50502,ST13,153 / 716,4.5,21
Q15417,CNN3,213 / 716,4.7,21
P35249,RFC4,162 / 716,2.3,12
P30153,PPP2R1A,316 / 716,5,35
P61758,VBP1,166 / 716,2.3,8
O43592,XPOT,101 / 716,2.6,9
Q07666,KHDRBS1,348 / 716,4.2,53
Q9Y2L1,DIS3,114 / 716,2.1,10
Q99613,EIF3C,274 / 716,5.6,28
Q92499,DDX1,331 / 716,5.2,34
P46379,BAG6,76 / 716,2.9,10
Q8IWZ3,ANKHD1,130 / 716,10.4,29
A5YKK6,CNOT1,130 / 716,3.6,37
Q92598,HSPH1,347 / 716,6.8,32
O75131,CPNE3,91 / 716,3.5,21
P52209,PGD,122 / 716,5.4,21
P53618,COPB1,278 / 716,4.9,38
P17980,PSMC3,225 / 716,5.2,30
P48729,CSNK1A1,70 / 716,2.5,12
Q14444,CAPRIN1,282 / 716,4.9,56
Q5T4S7,UBR4,106 / 716,7.4,76
Q9BUF5,TUBB6,617 / 716,15.3,94
P61981,YWHAG,332 / 716,4.7,54
Q13263,TRIM28,466 / 716,16.1,94
P62750,RPL23A,418 / 716,6.4,41
P33992,MCM5,208 / 716,5.6,39
Q07020,RPL18,399 / 716,5.6,59
P46782,RPS5,321 / 716,5.5,25
Q14C86,GAPVD1,125 / 716,9.3,33
Q15021,NCAPD2,112 / 716,2.7,17
Q12905,ILF2,313 / 716,9.3,70
P53041,PPP5C,39 / 716,1.4,3
O75190,DNAJB6,56 / 716,1.4,5
Q9NR31,SAR1A,63 / 716,2.1,7
P34932,HSPA4,304 / 716,11.1,60
P63104,YWHAZ,410 / 716,7.2,47
Q8IY67,RAVER1,129 / 716,2,22
O95347,SMC2,194 / 716,5,32
P40222,TXLNA,53 / 716,1.8,8
O00231,PSMD11,204 / 716,6,35
P41091,EIF2S3,270 / 716,4,17
Q7Z2W4,ZC3HAV1,210 / 716,7,50
P62491,RAB11A,125 / 716,5.5,40
Q15907,RAB11B,125 / 716,5.7,52
Q13555,CAMK2G,34 / 716,1.4,5
P60900,PSMA6,193 / 716,4.4,14
Q13347,EIF3I,280 / 716,5.9,37
P18621,RPL17,424 / 716,5.3,35
P04792,HSPB1,128 / 716,4.8,25
P26640,VARS,265 / 716,6.6,51
P40925,MDH1,100 / 716,3.6,13
Q9Y5X3,SNX5,34 / 716,1.1,2
P15170,GSPT1,180 / 716,2.8,16
P48444,ARCN1,263 / 716,3.7,18
Q7Z6Z7,HUWE1,204 / 716,7,98
P68036,UBE2L3,95 / 716,2.3,7
P55036,PSMD4,220 / 716,3.5,22
Q9Y295,DRG1,172 / 716,3.4,18
Q13642,FHL1,177 / 716,2.2,13
Q00325,SLC25A3,362 / 716,4.4,40
Q8N1G4,LRRC47,82 / 716,1.6,11
P41240,CSK,53 / 716,2.1,7
Q15717,ELAVL1,322 / 716,4.9,26
Q15393,SF3B3,322 / 716,13,210
P55884,EIF3B,282 / 716,5,41
Q99536,VAT1,64 / 716,2,10
P61956,SUMO2,254 / 716,2.3,19
P47755,CAPZA2,232 / 716,3.1,34
P52907,CAPZA1,318 / 716,4.6,36
Q52LJ0,FAM98B,113 / 716,2.3,10
P51570,GALK1,51 / 716,1.8,7
P08708,RPS17,342 / 716,5.4,52
P08865,RPSA,335 / 716,7.3,66
P31946,YWHAB,368 / 716,5.8,39
P27348,YWHAQ,410 / 716,5,95
P62316,SNRPD2,340 / 716,4.5,38
Q07812,BAX,21 / 716,1.2,3
Q6P1N0,CC2D1A,49 / 716,1.6,4
P12956,XRCC6,388 / 716,11.7,74
Q9NZ01,TECR,192 / 716,2.4,14
Q8WU90,ZC3H15,149 / 716,3.1,17
P13489,RNH1,70 / 716,9.8,297
Q13283,G3BP1,353 / 716,7.9,94
Q8TC12,RDH11,28 / 716,1.3,3
O60749,SNX2,141 / 716,2.8,8
Q8ND56,LSM14A,227 / 716,7.3,38
Q9BQG0,MYBBP1A,301 / 716,12.9,104
O14950,MYL12B,295 / 716,5.6,82
P19105,MYL12A,294 / 716,5.6,81
Q5SNT2,TMEM201,3 / 716,2,3
P61619,SEC61A1,129 / 716,2.3,11
P26196,DDX6,303 / 716,5.9,54
P50914,RPL14,333 / 716,4.1,34
Q96PK6,RBM14,293 / 716,9.7,79
O14976,GAK,84 / 716,2.1,11
Q9Y6M1,IGF2BP2,257 / 716,3.4,49
P35268,RPL22,429 / 716,3.6,31
Q96QK1,VPS35,75 / 716,2.8,26
Q13409,DYNC1I2,163 / 716,2.5,9
Q13620,CUL4B,210 / 716,5,39
Q6P2E9,EDC4,163 / 716,6.2,32
Q16543,CDC37,205 / 716,3.4,23
P14866,HNRNPL,460 / 716,12.4,212
Q14258,TRIM25,136 / 716,2.9,10
Q15006,EMC2,8 / 716,1,1
O00303,EIF3F,272 / 716,4.3,26
O60841,EIF5B,200 / 716,6.2,22
P33993,MCM7,328 / 716,8.3,58
O95373,IPO7,191 / 716,5.3,19
O94832,MYO1D,57 / 716,22.8,160
P47813,EIF1AX,157 / 716,5.7,34
O14602,EIF1AY,157 / 716,5.7,34
Q7Z7A3,CTU1,1 / 716,1,1
O15027,SEC16A,179 / 716,8.2,58
Q86UK7,ZNF598,92 / 716,2,19
Q13155,AIMP2,172 / 716,2.2,13
O95793,STAU1,228 / 716,5.9,21
P48739,PITPNB,61 / 716,4,18
P61158,ACTR3,137 / 716,4.6,35
P49721,PSMB2,159 / 716,3.2,14
O95757,HSPA4L,181 / 716,3.9,23
Q71UM5,RPS27L,372 / 716,2.3,15
Q9BSJ8,ESYT1,173 / 716,7.8,56
O60925,PFDN1,56 / 716,1.8,9
P61106,RAB14,151 / 716,1.9,8
P51665,PSMD7,144 / 716,4.3,19
Q99460,PSMD1,217 / 716,6.7,34
P43243,MATR3,441 / 716,10.4,96
Q7KZF4,SND1,265 / 716,8.4,58
Q04323,UBXN1,63 / 716,1.3,4
P55209,NAP1L1,374 / 716,6.3,25
Q99733,NAP1L4,277 / 716,3.6,31
P35606,COPB2,164 / 716,3.6,22
Q12788,TBL3,101 / 716,3.4,26
Q8TEW0,PARD3,46 / 716,1.9,12
Q13148,TARDBP,324 / 716,3.4,64
P10809,HSPD1,520 / 716,22.2,217
Q9Y5M8,SRPRB,90 / 716,2.2,9
P42771,CDKN2A,81 / 716,1.6,6
P05114,HMGN1,145 / 716,3.3,19
O75531,BANF1,128 / 716,3.6,14
P60866,RPS20,383 / 716,4.9,22
Q15019,SEPT2,218 / 716,3.5,14
O60762,DPM1,107 / 716,1.7,8
Q9Y314,NOSIP,69 / 716,1.4,10
Q9UBU9,NXF1,111 / 716,2.1,14
O60343,TBC1D4,113 / 716,4.6,76
P29401,TKT,168 / 716,7.5,66
P62841,RPS15,239 / 716,5.4,26
P62495,ETF1,167 / 716,3.1,11
P04844,RPN2,179 / 716,3.5,29
P07737,PFN1,308 / 716,6.6,46
P51571,SSR4,254 / 716,2.9,16
Q15654,TRIP6,85 / 716,1.3,5
Q9UHV9,PFDN2,143 / 716,2.2,8
Q9BY77,POLDIP3,247 / 716,4.5,30
Q15056,EIF4H,205 / 716,2.8,15
O00151,PDLIM1,136 / 716,6.6,25
O43237,DYNC1LI2,109 / 716,2.2,10
Q53GQ0,HSD17B12,97 / 716,2.6,9
P62273,RPS29,223 / 716,2.6,8
Q8N1F7,NUP93,211 / 716,3.6,18
O95817,BAG3,69 / 716,2.9,16
Q9Y450,HBS1L,94 / 716,3.1,16
Q8WWK9,CKAP2,120 / 716,1.8,7
Q8TEQ6,GEMIN5,145 / 716,25.9,159
Q71RC2,LARP4,131 / 716,1.8,11
Q9NP97,DYNLRB1,136 / 716,2.3,7
P49674,CSNK1E,49 / 716,1.2,3
P62191,PSMC1,195 / 716,5.9,44
P63208,SKP1,311 / 716,2.8,63
Q96GD4,AURKB,73 / 716,2.8,18
Q9Y4P3,TBL2,47 / 716,1.6,7
O00170,AIP,39 / 716,1.6,4
E9PAV3,NACA,302 / 716,3.2,14
O95433,AHSA1,230 / 716,2.7,8
O43809,NUDT21,295 / 716,6.1,42
P53582,METAP1,11 / 716,1,1
P05455,SSB,296 / 716,4.7,24
Q9NRG9,AAAS,65 / 716,1.5,5
P09429,HMGB1,252 / 716,4.5,21
Q13200,PSMD2,271 / 716,7.6,52
Q8N766,EMC1,25 / 716,1.8,9
